,y,x,r,z,pc,std_bg
0,541,1036,3,9,0.03449238703743245,424.8544522016399
1,791,1584,9,9,0.041629893593991975,88.01750733361075
2,1029,972,9,10,0.055564634744239255,157.59967390355277
3,702,1306,3,10,0.05588796107567887,261.82778678084486
4,1047,1086,3,2,0.08760260861101198,133.49744457604172
5,703,767,9,10,0.08961887536458588,114.48742113771901
6,799,1201,9,5,0.11415152799973909,84.96578718686686
7,1171,1135,2,5,0.1195408322006976,85.18786428959363
8,1040,1086,3,4,0.14316392269148176,148.90095048573582
9,945,1004,3,3,0.14926341748328897,75.6543561020925
10,630,1318,2,3,0.16046633481791983,89.3695122635355
11,343,966,3,10,0.1814763345050274,177.11412967506448
12,473,1311,2,5,0.18479408658922913,78.46123202292681
13,1134,647,9,3,0.19009244666850802,115.63985640292402
14,422,955,9,10,0.20291278023236786,122.81781335693034
15,679,1542,2,5,0.20368622385612797,98.8874834091757
16,867,1527,3,9,0.2180232558139535,97.12874474405379
17,575,1334,9,10,0.22724633834823427,366.0104794994196
18,799,884,3,10,0.2359219667756789,120.47987816090563
19,504,913,9,2,0.2362242684279034,114.56576548827132
20,340,976,5,9,0.24302932772833263,419.1844462763379
21,1049,1094,3,10,0.2500367701132519,347.5408748941946
22,1016,1152,3,10,0.2517316836407312,118.57662050571165
23,560,729,3,10,0.27811405948368945,106.13394805883533
24,433,897,2,3,0.2781731142450511,124.68320272461189
25,758,1376,9,8,0.27940811771513596,93.57740491099624
26,990,1417,5,5,0.2889603992907336,61.91655675180913
27,447,987,2,2,0.30412838100168244,115.1916202464398
28,956,805,3,8,0.3090002452382899,101.18333710810953
29,776,934,5,8,0.3137752198865207,84.81373341033868
30,1179,1284,2,5,0.31621993013360705,126.2261459863033
31,866,1533,9,6,0.32173439588179975,123.11669850437545
32,502,1415,9,10,0.3380979479797811,83.10159328856918
33,783,1082,2,4,0.3479222214996423,105.95173822705003
34,1199,1083,9,4,0.3557435367792915,82.70898002773991
35,550,1035,2,3,0.3557767793014749,460.86470470374127
36,1137,952,9,9,0.37105142181651013,111.13555286725806
37,976,476,2,7,0.3867529006467548,105.2837353562057
38,732,642,3,9,0.400416693795169,164.5605047458904
39,483,1143,2,9,0.40521696333360674,179.49705487370352
40,771,915,2,3,0.4112427951557542,82.6263237412872
41,1199,977,3,7,0.4243650845465822,121.57770720361891
42,311,946,2,1,0.42823414475291055,82.394840385926
43,1111,996,2,7,0.4312316236524012,52.606489222655156
44,1198,566,2,5,0.4323277948056138,104.67994077185945
45,452,1446,2,10,0.44200937799364715,235.81392367123325
46,451,1410,5,10,0.4425077692203756,368.459793430708
47,1092,575,2,5,0.44264943457189015,111.08742021739255
48,1184,1270,3,5,0.4433643140989852,69.69246681353412
49,421,1228,2,10,0.446384287273088,203.08635529826552
50,1048,1485,2,5,0.4532643272733266,76.21442703903827
51,1135,907,9,9,0.45431434616457006,123.67316092436829
52,822,1583,2,2,0.4584954067698419,74.15355689378629
53,1199,641,3,5,0.46024285154719935,88.49858755935034
54,389,1009,2,8,0.4701580253362936,246.1876401582067
55,463,788,2,5,0.4820218863991662,86.43651331083024
56,1063,984,2,7,0.4823966117770183,104.91938042558624
57,1106,1484,9,9,0.48855063312173885,91.3911980458015
58,785,773,2,3,0.4896020165786029,96.67642730894755
59,798,1199,2,4,0.4908915961315785,88.35612913406491
60,512,1184,2,9,0.4916743149337879,169.01594270626924
61,834,483,2,10,0.49219197122066877,152.84482304139564
62,969,1355,2,4,0.5014584903805185,89.76380078046805
63,1121,1531,2,7,0.5025956419667361,104.24729379647651
64,1013,1051,2,9,0.5045540921302667,295.9997067378427
65,1144,1326,2,7,0.5046174142480211,241.9913874443101
66,929,781,9,8,0.513054383764679,112.53900558374318
67,349,959,2,3,0.5224014191091509,74.60775903572853
68,431,711,2,7,0.5465194055173989,72.43990564982505
69,776,717,2,10,0.5467326217130956,277.5966673471103
70,703,1087,2,3,0.5506196501372489,65.6972089505246
71,842,1199,2,4,0.5529923759039298,110.15100115548454
72,883,955,2,3,0.5573055488248122,101.60489926945233
73,880,1456,2,7,0.559357725717294,74.21926973502232
74,408,754,2,10,0.5633524411939118,166.8112706024386
75,418,1371,2,4,0.5763592750533049,81.58056685809977
76,939,1272,2,7,0.5962911997903152,89.22481554104404
77,382,847,2,5,0.6057645334636053,72.22587063434325
78,851,539,2,5,0.6078485403530385,57.565662990671406
79,1199,1009,5,10,0.6122045948258837,228.88464100696862
80,1126,1307,3,3,0.6146634103165107,102.31606124596904
81,759,1563,2,7,0.6176826138076076,69.698943380322
82,1116,1548,2,4,0.6193740193244694,79.02319235867124
83,588,999,2,2,0.6197676682458304,120.11035868687135
84,1143,582,2,5,0.6233216697859875,77.74888352181586
85,602,1474,3,1,0.6270567625534145,196.26496758209296
86,513,839,2,1,0.6338277404201924,88.61276557145828
87,1014,1061,2,4,0.6360515998893823,81.65880064158561
88,978,1640,2,10,0.6367303397006367,155.371932793539
89,1075,1346,2,5,0.6487640633982097,81.09741013469885
90,697,1362,2,2,0.6497031103508397,69.91582240253075
91,660,1527,2,4,0.6570041929413318,105.9229197603406
92,422,779,2,3,0.658903349969012,72.93231974844136
93,1014,568,2,3,0.6621656712542197,63.14857920456767
94,513,1326,2,10,0.6633059166887768,246.6120963003775
95,926,1054,2,5,0.6643169230269462,112.43423231926396
96,1113,1052,2,7,0.6731317741015402,86.11401316794434
97,621,1160,2,9,0.67730455745609,280.88906160716823
98,886,1614,9,2,0.6869674351013938,279.0010173965918
99,614,1057,2,2,0.6870665034679723,61.12828041640519
100,1106,897,2,5,0.6931049138522902,91.18364215813175
101,847,1580,2,3,0.6935728912081379,83.71724069084509
102,659,1083,1,4,0.6975723182490772,84.03702887550358
103,372,948,2,9,0.6999853149933918,198.87452423296676
104,902,888,2,3,0.7012348892829833,112.67097347537603
105,788,1006,2,7,0.7021063189568706,125.07374907762753
106,1083,1547,2,10,0.704506181044796,133.0164985589716
107,708,659,2,8,0.7053787153999579,156.1238601951099
108,828,500,2,9,0.7075586785731713,155.3387371645878
109,408,952,2,2,0.7129053735851508,141.22381763239042
110,315,1156,1,8,0.7144274657670172,298.19972566870155
111,1012,1422,9,9,0.7160457078599659,89.67294828609678
112,847,766,2,4,0.7194244604316546,82.8809282277225
113,1140,1330,2,4,0.7211775940988573,247.91088228546073
114,775,737,2,10,0.7240024674523554,235.4244246509317
115,1192,1392,2,5,0.7240866258885766,83.0105310420846
116,955,1242,2,5,0.7252664494687382,105.94710911844436
117,1122,1263,2,7,0.7268232385661311,59.95575625687106
118,1002,1407,3,9,0.7270323859881032,343.6072127686884
119,546,1492,1,4,0.7296601013878501,92.7451705840615
120,1055,698,2,7,0.7304009089433533,114.12334944650411
121,790,487,2,3,0.7309917824205391,62.465101367794865
122,579,1148,2,10,0.7330873308733087,334.25687685105635
123,333,1158,5,10,0.7337717191459758,244.0000499487654
124,1125,548,5,2,0.7358692355579677,462.79917620929274
125,802,822,2,5,0.7368540381220748,93.46849402338736
126,1175,994,2,9,0.7385766806722689,258.9170823942591
127,438,801,2,4,0.7390525801725542,68.8335351086631
128,963,976,2,5,0.7396113796347358,74.21925803919686
129,845,1452,2,2,0.7435433459450568,82.31895117299675
130,564,1343,2,9,0.7463057040260793,204.79253984215342
131,620,987,2,5,0.74672900230512,94.78197752678982
132,671,1158,2,4,0.7468879668049793,94.66255859631093
133,746,947,2,4,0.7558627818334518,76.9792540594903
134,1027,1540,2,5,0.7569386038687973,90.80576798860301
135,1054,628,9,5,0.7643767889669529,86.70911976613121
136,1034,1178,2,5,0.7652060170045781,99.09317129460648
137,414,955,2,2,0.7667814672818247,106.2197669404753
138,681,1301,2,9,0.7670529365288385,283.01859663574527
139,1024,1171,2,7,0.7707697858243957,58.79730660403493
140,458,1153,2,3,0.7710238479469249,115.29183230924134
141,1066,908,2,4,0.7806885738550989,78.33789880312649
142,1145,1516,2,7,0.7833242632629166,120.38860688066237
143,950,773,2,7,0.7862248213125406,82.15394593890991
144,517,610,2,9,0.7869120654396728,176.14654173916293
145,451,947,2,3,0.7910701286095608,99.80842761121038
146,971,532,2,7,0.7930059475446066,79.85089185823509
147,799,1438,2,5,0.7980517664094252,108.66800069477675
148,917,1068,2,4,0.8003643935450286,78.2551804284476
149,947,481,2,5,0.801684346910681,115.50540361337598
150,695,1300,2,9,0.8109219508183239,426.43834222806726
151,940,1032,2,1,0.8184897648260101,74.9234678966922
152,942,1573,2,2,0.8210668913449307,60.310769261292705
153,1126,1251,2,7,0.8212234418972072,105.61288556432035
154,486,1471,2,5,0.8233482830176049,79.7480298433064
155,882,1099,2,7,0.823648142722271,64.27273430468009
156,414,968,2,3,0.8280327308812285,96.71470609478168
157,981,934,2,5,0.8346213292117465,75.54519434675437
158,777,526,2,1,0.8359879048558446,92.6309789643232
159,418,1251,2,9,0.8375487187992371,327.99231179590504
160,858,1583,2,4,0.8394456678311837,96.0514908207514
161,1049,760,2,3,0.844367372737144,77.40922102695518
162,1135,1591,1,9,0.8448833928126815,212.55596893654987
163,707,901,2,2,0.8479221072315182,90.5765387669456
164,1137,987,2,7,0.8490689745607134,114.75770822573195
165,948,1241,2,7,0.8494031221303948,92.30215327932497
166,1156,1450,2,7,0.8503260959299925,72.03254472806024
167,1146,878,2,5,0.8505150431787387,86.88018569654803
168,610,1413,2,3,0.8560851457658492,109.01082228384483
169,1154,1348,2,9,0.8583833228382991,342.7767332957254
170,863,1260,1,7,0.8673126424343777,131.12000837866898
171,643,559,2,10,0.8706427104053217,341.9009257892636
172,922,1293,2,7,0.8744534665833854,81.02416263409054
173,1126,572,2,5,0.8786719408598664,112.59680248815042
174,834,1509,3,2,0.8843738698753987,103.97676022393978
175,1172,1237,2,7,0.8876080691642652,68.11743077215992
176,1032,702,2,7,0.8879492600422833,93.14803033642501
177,840,1590,2,7,0.8906802010250287,60.160188363143355
178,1042,1264,2,4,0.8964339659814803,101.75145883475086
179,574,1549,2,7,0.8991575610976729,241.06660775603078
180,1045,697,2,7,0.9028612256828294,66.83965836653832
181,757,1339,2,5,0.9049253559756277,93.98284972092868
182,944,1434,2,5,0.9058866159370161,90.99217762472162
183,921,1286,2,7,0.9062848886845735,117.68681956786834
184,1058,1584,2,5,0.9109211525132843,67.69308802726219
185,577,1522,2,3,0.9347659758491068,103.23759005323593
186,985,1164,2,3,0.9355865784962037,74.37404294435586
187,439,819,2,2,0.9358245329000813,128.74811217601945
188,1145,1477,2,5,0.9360246097155736,80.91400613545773
189,779,623,2,3,0.937368233271707,92.66718187806416
190,942,1072,2,7,0.937952110798641,115.56488677602533
191,1096,1350,2,7,0.938265113298388,80.38600451709378
192,917,656,5,8,0.9384030912101828,106.38490259430613
